t (s),V (mV)
0,7.9224
1.049,7.9058
2.099,7.8862
3.103,7.8714
4.103,7.8534
5.103,7.8362
6.103,7.8179
7.103,7.7996
8.103,7.7824
9.103,7.7649
10.103,7.7472
11.103,7.7294
12.103,7.7111
13.103,7.6937
14.103,7.6766
15.103,7.6586
16.103,7.6406
17.103,7.6229
18.103,7.6056
19.103,7.5876
20.103,7.5703
21.103,7.5538
22.103,7.5366
23.103,7.519
24.103,7.5021
25.103,7.485
26.103,7.4698
27.103,7.453
28.103,7.4358
29.103,7.419
30.104,7.402
31.103,7.3847
32.103,7.3683
33.103,7.3515
34.103,7.3351
35.103,7.3181
36.103,7.3044
37.103,7.285
38.103,7.2682
39.103,7.2517
40.103,7.2354
41.103,7.2193
42.103,7.2016
43.103,7.1856
44.103,7.1695
45.103,7.1552
46.103,7.1383
47.103,7.1225
48.103,7.1075
49.103,7.0904
50.102,7.074
51.103,7.0583
52.103,7.0417
53.103,7.0261
54.103,7.0096
55.103,6.9941
56.103,6.9789
57.103,6.9623
58.103,6.9467
59.104,6.9304
60.103,6.9145
61.103,6.899
62.103,6.8834
63.103,6.867
64.103,6.8518
65.103,6.8361
66.103,6.8206
67.103,6.805
68.103,6.7882
69.103,6.7725
70.103,6.7565
71.103,6.7421
72.103,6.7258
73.103,6.7097
74.103,6.6942
75.103,6.6798
76.103,6.6646
77.103,6.6493
78.103,6.6335
79.103,6.6187
80.103,6.6035
81.103,6.5876
82.103,6.5727
83.103,6.5579
84.103,6.5426
85.102,6.5271
86.103,6.5124
87.103,6.4972
88.103,6.4824
89.103,6.4674
90.103,6.4524
91.102,6.4375
92.103,6.4227
93.103,6.4081
94.103,6.3928
95.103,6.3782
96.102,6.3636
97.103,6.3485
98.102,6.3347
99.103,6.32
100.103,6.3057
101.103,6.2908
102.103,6.2764
103.103,6.2621
104.103,6.2473
105.103,6.2332
106.103,6.2191
107.103,6.2052
108.103,6.1906
109.102,6.1761
110.103,6.1629
111.103,6.1485
112.103,6.1339
113.102,6.1202
114.102,6.1069
115.103,6.0933
116.102,6.0787
117.103,6.065
118.102,6.051
119.103,6.0367
120.102,6.0235
121.103,6.01
122.103,5.9957
123.103,5.9828
124.103,5.9688
125.103,5.9544
126.102,5.9416
127.103,5.9272
128.103,5.9143
129.103,5.8999
130.103,5.8864
131.103,5.8732
132.103,5.8596
133.103,5.8462
134.102,5.8332
135.103,5.8203
136.103,5.8061
137.102,5.7927
138.102,5.7797
139.103,5.7664
140.103,5.7529
141.102,5.7387
142.103,5.7259
143.103,5.7124
144.103,5.6995
145.103,5.6863
146.103,5.6735
147.103,5.6605
148.103,5.6471
149.103,5.6339
150.103,5.6223
151.103,5.6089
152.103,5.5945
153.103,5.5822
154.103,5.5692
155.103,5.5553
156.103,5.5438
157.103,5.5311
158.102,5.5187
159.103,5.5051
160.103,5.4926
161.103,5.4799
162.102,5.4677
163.103,5.4543
164.103,5.443
165.103,5.4289
166.103,5.4172
167.103,5.404
168.103,5.3909
169.103,5.3792
170.102,5.3665
171.103,5.3536
172.103,5.3415
173.103,5.3286
174.102,5.3163
175.103,5.3036
176.102,5.2914
177.103,5.2786
178.103,5.2661
179.103,5.2542
180.102,5.2412
181.102,5.2294
182.103,5.2165
183.103,5.205
184.103,5.1938
185.103,5.181
186.102,5.1677
187.103,5.156
188.103,5.1443
189.103,5.1317
190.103,5.1212
191.103,5.1082
192.103,5.0961
193.102,5.0845
194.103,5.0725
195.103,5.0605
196.103,5.0485
197.102,5.0371
198.103,5.025
199.103,5.0142
200.103,5.0021
201.103,4.99
202.103,4.9773
203.103,4.9663
204.103,4.9542
205.103,4.9427
206.103,4.9301
207.103,4.9189
208.103,4.9078
209.103,4.8958
210.103,4.8843
211.103,4.8732
212.104,4.861
213.103,4.8497
214.103,4.8383
215.103,4.8271
216.103,4.8144
217.103,4.8051
218.103,4.7943
219.103,4.7838
220.103,4.7725
221.102,4.7615
222.103,4.7496
223.103,4.7396
224.103,4.7288
225.102,4.7175
226.103,4.7077
227.102,4.6955
228.103,4.6854
229.103,4.6735
230.103,4.663
231.103,4.6519
232.102,4.6415
233.103,4.6303
234.103,4.62
235.103,4.6089
236.103,4.5979
237.103,4.5871
238.103,4.5768
239.102,4.5663
240.103,4.5553
241.103,4.5448
242.103,4.5342
243.102,4.5235
244.103,4.5141
245.103,4.5027
246.103,4.4923
247.103,4.4824
248.103,4.4723
249.103,4.4617
250.103,4.451
251.103,4.4408
252.103,4.431
253.103,4.4198
254.103,4.4103
255.103,4.3997
256.103,4.3882
257.103,4.3779
258.103,4.3685
259.103,4.3573
260.103,4.347
261.103,4.3373
262.103,4.3256
263.103,4.3157
264.103,4.3057
265.102,4.2953
266.103,4.2859
267.103,4.2751
268.103,4.2653
269.103,4.2546
270.103,4.2441
271.102,4.2345
272.103,4.2239
273.103,4.2135
274.103,4.2037
275.103,4.1938
276.103,4.1841
277.103,4.1741
278.102,4.1641
279.103,4.1557
280.102,4.1454
281.103,4.1356
282.103,4.1269
283.103,4.1168
284.103,4.1077
285.102,4.0975
286.103,4.0887
287.102,4.0784
288.103,4.0701
289.103,4.0596
